CNES,CODUFMUN,REGSAUDE,MICR_REG,DISTRSAN,DISTRADM,TPGESTAO,PF_PJ,CPF_CNPJ,NIV_DEP,CNPJ_MAN,ESFERA_A,RETENCAO,ATIVIDAD,NATUREZA,CLIENTEL,TP_UNID,TURNO_AT,NIV_HIER,TERCEIRO,COD_CEP,VINC_SUS,TP_PREST,SGRUPHAB,CMPT_INI,CMPT_FIM,DTPORTAR,PORTARIA,MAPORTAR,NULEITOS,COMPETEN,NAT_JUR
3786,292740,01,,005,,M,3,15180961000100,1,0,4.0,11.0,3,11.0,3.0,7,6,8.0,2.0,40285001,1,61,1713,200810,999999,13/03/2009,PT SAS 062,200903,0,201110,
4278,292740,01,,001,,D,3,15170723000106,1,0,4.0,11.0,4,11.0,3.0,7,6,7.0,2.0,40050050,1,61,1711,200903,999999,13/03/2009,SAS 62,200903,0,201110,
477,261160,0001,,,,D,3,11022597001325,1,0,,,5,,3.0,5,6,,,50100130,1,99,1709,200709,999999,11/03/2009,PT SAS 62,200903,0,202207,1147.0
582,261160,0001,,,,E,3,10894988000133,1,0,,,3,,3.0,7,6,,,50040000,1,99,1709,200709,999999,11/03/2009,PT SAS 62,200903,0,202207,3999.0
2012677,130260,10.0,,,,D,3,34570820000130,1,0,2.0,10.0,3,4.0,3.0,7,6,8.0,2.0,69040010,1,40,1709,200709,999999,02/04/2014,RP PT SAS 140,201404,0,201509,1147.0
2409194,240810,007,,4.0,,D,3,8428765000309,3,8428765000139,4.0,11.0,4,11.0,3.0,7,6,8.0,1.0,59040000,1,61,1713,200709,200802,26/09/2007,SAS 513,200709,0,200801,
11800,320530,1.0,,,,D,3,27080605002059,3,27080605000196,2.0,10.0,3,1.0,3.0,7,6,8.0,2.0,29056904,1,40,1711,200709,999999,13/03/2009,SAS 062,200903,0,201101,
10456,530010,08,,10.0,,E,3,28481233000172,1,0,,,5,,1.0,5,6,,,70335900,1,99,1713,201703,999999,24/02/2017,PT SAS 458,201702,0,202309,3077.0
6876617,530010,08,,5.0,,E,3,394700002828,1,0,,,3,,2.0,7,6,,,70684831,1,99,1711,202112,999999,15/12/2021,1211/SAES/MS,202112,0,202309,1023.0
13633,410400,2,,,,D,3,7088017000191,1,0,,,5,,3.0,5,6,,,83430000,1,99,1713,200709,999999,28/11/2016,PT SAS 1718,201611,0,201904,3999.0
2740338,410480,10,,,,E,3,81270548000153,1,0,,,4,,2.0,7,6,,,85806300,1,99,1713,200709,999999,21/02/2018,PT SAS NÂº 231,201802,0,201904,3999.0
15563,410690,02,,04,,D,3,76591569000130,1,0,,,5,,3.0,5,6,,,80250060,1,99,1711,200709,999999,13/12/2016,PT SAS 1950,201612,0,201904,3999.0
15644,410690,02,,,,D,3,76591049000128,1,0,,,5,,3.0,7,6,,,81520060,1,99,1713,200709,999999,13/12/2016,PT SAS 1953,201612,0,201904,3999.0
2384299,410690,02,,07,,D,3,75095679000220,3,75095679000149,,,5,,3.0,5,6,,,80060900,1,99,1709,200709,999999,13/12/2016,PT SAS 1952,201612,0,201904,1104.0
2577623,411370,017,,,,D,3,78633088000176,1,0,,,4,,2.0,7,6,,,86015520,1,99,1713,201707,999999,14/07/2017,PT SAS 1218,201707,0,201904,3999.0
2781859,411370,17,,,,D,3,78640489000315,3,78640489000153,,,5,,3.0,5,6,,,86038440,1,99,1709,200709,999999,11/03/2009,PT SAS 62,200903,0,201904,1112.0
10456,530010,08,,10.0,,E,3,28481233000172,1,0,,,5,,1.0,5,6,,,70335900,1,99,1713,201703,999999,24/02/2017,PT SAS 458,201702,0,202308,3077.0
6876617,530010,08,,5.0,,E,3,394700002828,1,0,,,3,,2.0,7,6,,,70684831,1,99,1711,202112,999999,15/12/2021,1211/SAES/MS,202112,0,202308,1023.0
2006448,270430,,,,,M,3,12291290000159,1,0,,,4,,3.0,5,6,,,57050000,1,99,1711,200911,999999,02/04/2014,RP PT SAS 140,201404,0,201911,3069.0
2007037,270430,,,,,M,3,12307187000150,1,0,,,3,,3.0,5,6,,,57020360,1,99,1713,200709,999999,02/04/2014,RP PT SAS 140,201404,0,201911,3999.0
2676060,250400,0003,,0002,,M,3,5055128000257,3,5055128000176,1.0,10.0,1,3.0,3.0,5,6,8.0,1.0,58400398,1,30,1709,200903,999999,11/03/2009,PT SAS 62,200903,0,201104,
2399741,250750,0001,,II,0000,M,3,9112236000194,1,0,4.0,11.0,4,11.0,3.0,7,6,8.0,2.0,58015170,1,61,1713,200709,999999,11/03/2009,PT SAS 62,200903,0,201104,
11800,320530,1.0,,,,E,3,27080605002059,3,27080605000196,,,3,,3.0,7,6,,,29027080,1,99,1711,200709,999999,13/03/2009,SAS 062,200903,0,201702,1023.0
13633,410400,2,,,,D,3,7088017000191,1,0,,,5,,3.0,5,6,,,83430000,1,99,1713,200709,999999,28/11/2016,PT SAS 1718,201611,0,201905,3999.0
2740338,410480,10,,,,E,3,81270548000153,1,0,,,4,,2.0,7,6,,,85806300,1,99,1713,200709,999999,21/02/2018,PT SAS NÂº 231,201802,0,201905,3999.0
15563,410690,02,,04,,D,3,76591569000130,1,0,,,5,,3.0,5,6,,,80250060,1,99,1711,200709,999999,13/12/2016,PT SAS 1950,201612,0,201905,3999.0
15644,410690,02,,,,D,3,76591049000128,1,0,,,5,,3.0,7,6,,,81520060,1,99,1713,200709,999999,13/12/2016,PT SAS 1953,201612,0,201905,3999.0
2384299,410690,02,,07,,D,3,75095679000220,3,75095679000149,,,5,,3.0,5,6,,,80060900,1,99,1709,200709,999999,13/12/2016,PT SAS 1952,201612,0,201905,1104.0
2577623,411370,017,,,,D,3,78633088000176,1,0,,,4,,2.0,7,6,,,86015520,1,99,1713,201707,999999,14/07/2017,PT SAS 1218,201707,0,201905,3999.0
2781859,411370,17,,,,D,3,78640489000315,3,78640489000153,,,5,,3.0,5,6,,,86038440,1,99,1709,200709,999999,11/03/2009,PT SAS 62,200903,0,201905,1112.0
2409151,240810,07,,3.0,,D,3,8337586000196,1,0,4.0,12.0,4,11.0,3.0,7,6,8.0,1.0,59025600,1,60,1711,200803,999999,11/03/2009,PT SAS 62,200903,0,200905,
