CNES,SGRUPHAB,TPGESTAO
434,1713,D
477,1709,D
582,1709,E
3786,1713,D
4278,1711,D
9539,1709,M
9725,1709,M
10456,1713,E
11800,1711,D
13633,1713,D
15563,1711,D
15644,1713,D
27014,1713,M
27049,1709,M
2006448,1711,M
2007037,1713,M
2012677,1709,D
2025507,1713,E
2025752,1713,M
2030705,1709,E
2071371,1711,E
2077396,1709,E
2077477,1713,E
2077485,1713,E
2077531,1713,M
2078015,1713,E
2079321,1711,M
2080273,1709,E
2080532,1709,E
2080575,1713,M
2081482,1711,E
2082187,1713,E
2083086,1713,E
2083116,1709,M
2084414,1709,M
2089696,1711,M
2090236,1713,E
2127989,1709,M
2146355,1709,M
2205440,1709,M
2206595,1713,M
2223538,1709,M
2237253,1713,M
2237571,1709,M
2237601,1713,M
2244306,1709,E
2246988,1709,E
2262568,1709,M
2269821,1713,M
2269988,1709,M
2273454,1713,M
2273462,1713,M
2273659,1709,M
2278855,1709,M
2296616,1711,M
2334321,1713,M
2384299,1709,D
2399741,1713,M
2409151,1711,D
2409194,1713,D
2506815,1713,M
2534444,1709,M
2558254,1709,M
2563681,1711,M
2577623,1713,D
2655519,1709,M
2676060,1709,M
2688689,1709,E
2691868,1711,E
2695324,1709,M
2697696,1713,M
2704900,1709,E
2705982,1713,E
2716801,1711,M
2723220,1713,M
2726998,1713,M
2740338,1713,E
2748223,1709,E
2754843,1709,M
2755130,1709,E
2775999,1713,D
2781859,1709,D
2786435,1709,M
2790602,1709,E
2816210,1709,E
5869412,1711,E
6048692,1711,M
6602533,1711,E
6876617,1711,E
7185081,1711,E
7400926,1709,E
7871902,1711,E
