Estabelecimento de tratamento;cnes
0000035 HOSPITAL MENDO SAMPAIO;0000035
0000396 HOSPITAL DAS CLINICAS;0000396
0000418 HOSPITAL AGAMENON MAGALHAES;0000418
0000426 HOSPITAL OTAVIO DE FREITAS;0000426
0000434 IMIP;0000434
0000477 HOSPITAL OSWALDO CRUZ;0000477
0000485 FUNDACAO ALTINO VENTURA;0000485
0000566 HOSPITAL MARIA LUCINDA;0000566
0000582 HOSPITAL DE CANCER DE PERNAMBUCO;0000582
0000655 HOSPITAL DA RESTAURACAO;0000655
0000809 FUNDACAO HEMOPE;0000809
0001023 IRSIR;0001023
0001120 REAL HOSPITAL PORTUGUES;0001120
0002208 CENTRO DE ATENCAO INTEGRAL A SAUDE DA MULH;0002208
0002232 HOSPITAL E MATERNIDADE SANTA IZABEL;0002232
0002275 HOSPITAL SAO JOSE;0002275
0002283 HOSPITAL DE CIRURGIA;0002283
0002534 HOSPITAL UNIVERSITARIO DE SERGIPE HUSE;0002534
0003778 HOSPITAL ESTADUAL DA MULHER;0003778
0003786 HOSPITAL ARISTIDES MALTEZ;0003786
0003794 INSTITUTO DE PERINATOLOGIA DA BAHIA;0003794
0003808 HOSPITAL SAO RAFAEL;0003808
0003816 HOSPITAL UNIVERSITARIO PROFESSOR EDGARD SA;0003816
0003832 HOSPITAL SANTA ISABEL;0003832
0003859 HOSPITAL GERAL ROBERTO SANTOS;0003859
0003875 HOSPITAL ANA NERY;0003875
0003921 CICAN;0003921
0003980 HOSPITAL ELADIO LASSERRE;0003980
0004057 HOSPITAL ESPANHOL;0004057
0004065 HOSPITAL ESPECIALIZADO OCTAVIO MANGABEIRA;0004065
0004073 HOSPITAL GERAL ERNESTO SIMOES FILHO;0004073
0004251 HOSPITAL PORTUGUES;0004251
0004278 HOSPITAL MARTAGAO GESTEIRA;0004278
0004294 HOSPITAL GERAL DO ESTADO;0004294
0004960 HOSPITAL SANTA LUZIA;0004960
0005428 INSTITUTO COUTO MAIA;0005428
0006157 HOSPITAL HUMBERTO CASTRO LIMA;0006157
0007641 ABSJ;0007641
0007684 HOSPITAL MAGALHAES;0007684
