CNES,TPGESTAO,SGRUPHAB
396,D,1701
396,D,1706
396,E,1706
396,E,1723
434,D,1701
434,D,1707
434,D,1708
434,D,1709
434,D,1712
434,D,1713
434,D,1717
434,D,1722
434,D,1723
477,D,1701
477,D,1708
477,D,1709
477,D,1717
477,D,1722
477,D,1723
582,D,1701
582,D,1707
582,D,1709
582,D,1717
582,E,1707
582,E,1709
582,E,1717
582,E,1723
809,D,1701
809,D,1710
809,E,1710
1023,E,1704
2283,E,1707
2283,E,1718
2283,E,1723
2283,M,1701
2283,M,1706
2283,M,1707
2283,M,1718
2534,M,1706
2534,M,1708
2534,M,1723
3778,E,1719
3778,E,1720
3786,D,1713
3786,D,1717
3786,D,1722
3786,D,1723
3786,M,1702
3786,M,1712
3786,M,1713
3808,D,1701
3808,D,1707
3808,D,1718
3808,M,1707
3808,M,1718
3816,D,1701
3816,D,1708
3816,D,1723
3816,E,1708
3816,E,1723
3832,D,1701
3832,D,1707
3832,D,1708
3832,D,1718
3832,M,1707
3832,M,1708
3921,E,1706
3921,E,1716
3921,M,1705
3921,M,1706
3921,M,1716
4278,D,1711
8753,M,1704
8753,M,1715
8923,M,1706
9369,M,1704
9539,M,1705
9539,M,1706
9539,M,1709
9601,M,1701
9601,M,1708
9601,M,1723
9709,M,1701
9709,M,1706
9709,M,1707
9717,M,1701
9717,M,1707
9717,M,1708
9725,M,1701
9725,M,1709
9725,M,1723
9776,D,1707
9776,M,1701
9776,M,1707
9776,M,1717
9776,M,1723
10456,E,1702
10456,E,1707
10456,E,1708
10456,E,1712
10456,E,1713
10456,E,1717
10456,E,1720
10464,E,1714
10464,E,1717
10472,E,1714
10472,E,1717
10472,E,1719
10480,E,1714
10480,E,1717
10480,E,1719
10499,E,1706
10499,E,1714
10499,E,1717
10510,E,1701
10510,E,1706
10510,E,1707
10510,E,1719
10537,E,1719
10537,E,1720
11738,D,1701
11738,D,1712
11738,D,1717
11738,E,1712
11738,E,1717
11746,D,1701
11746,D,1708
11746,D,1714
11746,D,1718
11746,E,1708
11746,E,1714
11746,E,1718
11800,D,1701
11800,D,1711
11800,E,1711
12505,M,1701
12505,M,1708
12556,M,1714
13633,D,1701
13633,D,1707
13633,D,1708
13633,D,1709
13633,D,1713
13633,D,1717
13633,E,1713
13633,E,1717
13633,E,1723
13838,E,1706
13838,E,1718
13838,E,1723
13846,E,1706
14109,M,1701
14109,M,1706
14109,M,1707
14109,M,1723
15245,D,1707
15245,D,1708
15245,D,1718
15245,D,1723
15334,D,1706
15334,D,1723
