,CNES,TPGESTAO,SGRUPHAB
0,396,Dupla,1701
1,396,Dupla,1706
2,396,Estadual,1706
3,396,Estadual,1723
4,434,Dupla,1701
5,434,Dupla,1707
6,434,Dupla,1708
7,434,Dupla,1709
8,434,Dupla,1712
9,434,Dupla,1713
10,434,Dupla,1717
11,434,Dupla,1722
12,434,Dupla,1723
13,477,Dupla,1701
14,477,Dupla,1708
15,477,Dupla,1709
16,477,Dupla,1717
17,477,Dupla,1722
18,477,Dupla,1723
19,582,Dupla,1701
20,582,Dupla,1707
21,582,Dupla,1709
22,582,Dupla,1717
23,582,Estadual,1707
24,582,Estadual,1709
25,582,Estadual,1717
26,582,Estadual,1723
27,809,Dupla,1701
28,809,Dupla,1710
29,809,Estadual,1710
30,1023,Estadual,1704
31,2283,Estadual,1707
32,2283,Estadual,1718
33,2283,Estadual,1723
34,2283,Municipal,1701
35,2283,Municipal,1706
36,2283,Municipal,1707
37,2283,Municipal,1718
38,2534,Municipal,1706
39,2534,Municipal,1708
40,2534,Municipal,1723
41,3778,Estadual,1719
42,3778,Estadual,1720
43,3786,Dupla,1713
44,3786,Dupla,1717
45,3786,Dupla,1722
46,3786,Dupla,1723
47,3786,Municipal,1702
48,3786,Municipal,1712
49,3786,Municipal,1713
50,3808,Dupla,1701
51,3808,Dupla,1707
52,3808,Dupla,1718
53,3808,Municipal,1707
54,3808,Municipal,1718
55,3816,Dupla,1701
56,3816,Dupla,1708
57,3816,Dupla,1723
58,3816,Estadual,1708
59,3816,Estadual,1723
60,3832,Dupla,1701
61,3832,Dupla,1707
62,3832,Dupla,1708
63,3832,Dupla,1718
64,3832,Municipal,1707
65,3832,Municipal,1708
66,3921,Estadual,1706
67,3921,Estadual,1716
68,3921,Municipal,1705
69,3921,Municipal,1706
70,3921,Municipal,1716
71,4278,Dupla,1711
72,8753,Municipal,1704
73,8753,Municipal,1715
74,8923,Municipal,1706
75,9369,Municipal,1704
76,9539,Municipal,1705
77,9539,Municipal,1706
78,9539,Municipal,1709
79,9601,Municipal,1701
80,9601,Municipal,1708
81,9601,Municipal,1723
82,9709,Municipal,1701
83,9709,Municipal,1706
84,9709,Municipal,1707
85,9717,Municipal,1701
86,9717,Municipal,1707
87,9717,Municipal,1708
88,9725,Municipal,1701
89,9725,Municipal,1709
90,9725,Municipal,1723
91,9776,Dupla,1707
92,9776,Municipal,1701
93,9776,Municipal,1707
94,9776,Municipal,1717
95,9776,Municipal,1723
96,10456,Estadual,1702
97,10456,Estadual,1707
98,10456,Estadual,1708
99,10456,Estadual,1712
100,10456,Estadual,1713
101,10456,Estadual,1717
102,10456,Estadual,1720
103,10464,Estadual,1714
104,10464,Estadual,1717
105,10472,Estadual,1714
106,10472,Estadual,1717
107,10472,Estadual,1719
108,10480,Estadual,1714
109,10480,Estadual,1717
110,10480,Estadual,1719
111,10499,Estadual,1706
112,10499,Estadual,1714
113,10499,Estadual,1717
114,10510,Estadual,1701
115,10510,Estadual,1706
116,10510,Estadual,1707
117,10510,Estadual,1719
118,10537,Estadual,1719
119,10537,Estadual,1720
120,11738,Dupla,1701
121,11738,Dupla,1712
122,11738,Dupla,1717
123,11738,Estadual,1712
124,11738,Estadual,1717
125,11746,Dupla,1701
126,11746,Dupla,1708
127,11746,Dupla,1714
128,11746,Dupla,1718
129,11746,Estadual,1708
130,11746,Estadual,1714
131,11746,Estadual,1718
132,11800,Dupla,1701
133,11800,Dupla,1711
134,11800,Estadual,1711
135,12505,Municipal,1701
136,12505,Municipal,1708
137,12556,Municipal,1714
138,13633,Dupla,1701
139,13633,Dupla,1707
140,13633,Dupla,1708
141,13633,Dupla,1709
142,13633,Dupla,1713
143,13633,Dupla,1717
144,13633,Estadual,1713
